page,dealPrice,originalPrice,itemDescription
1,300.00,429.00,"NordicTrack 50 Lb iSelect Adjustable Dumbbells, Works with Alexa, Sold as Pair"
1,47.99,64.99,Hamilton Beach Kitchen Appliances
1,24.99,39.99,Fire TV Stick
1,29.99,39.99,Echo Dot (3rd Gen)
1,37.50,50.00,COVID-19 Home Tests
1,67.97,89.97,Jersey Frame Display Case by flybold | Shadow Box Memorabilia Display Cases | Acrylic Anti Fade UV Protection with Gold Locks
1,16.14,18.99,"Princess Theme Easter Craft Kit by jackinthebox | Make a Cape, Tiara and Wand | Best Gift for Girls Ages 5 6 7 8 Years | 3 Craft Projects in 1 Box"
1,33.99,39.99,"GPEESTRAC Ear Wax Removal Ear Camera Wireless Ear Otoscope with 6 LED Light Earwax Cleaner Compatible with iPhone iPad Android Earwax Removal Kit for Kids, Adults,Pets"
1,8.96,9.98,[2 Pack] Compatible for Apple Watch Case 44mm Series 6/5/4/SE iWatch Screen Protector 44mm Watch Cover Built in Tempered Glass Ultra-Thin Hard PC Case for Women Men(Black + Clear)
1,33.99,59.99,"Dog Bark Collar for Small Medium Large Dogs,No Bark Collar with No Shock Mode,Rechargeable Anti Barking Collar with Beep Vibration Harmless Shock - Black"
1,14.99,22.99,"Universal Waterproof Phone Pouch,Waterproof Phone Pouch Compatible for iPhone 13 12 11 Pro Max XS Max XR X 8 7 Samsung Galaxy s10/s9 Up to 7.0"", IPX8 Cell Phone Dry Bag -2 Pack Black"
1,12.99,22.99,"USB C Female to USB Male Adapter 4 Pack,Type A Charger Cable Power Converter for iPhone 11 12 13 Pro Max,Apple iWatch Watch Series 7 SE,AirPods iPad Air,Samsung Galaxy Note 10 20 S22 S21 S20 Plus"
1,21.25,33.99,"Organic Probiotics 100 Billion CFU, Dr Formulated Probiotics for Women, Probiotics for Men and Adults, Complete Shelf Stable Probiotic Supplement with Prebiotics & Digestive Enzymes; 30 Capsules"
1,823.74,969.11,"ALORAIR Storm LGR Extreme Smart WiFi Commercial Dehumidifier with Pump, 180 PPD at AHAM, 5 Years Warranty, cETL Listed, Memory Starting, for Damage Restoration, Crawlspace and Basement Drying, Red"
1,59.99,109.99,Echo Show 8
1,50.15,59.00,"AgelessLX Anti Aging Supplement for Women - with HMB Collagen Enhancer Plus Vitamin D3 and K2, Horsetail and Biotin"
1,34.99,49.99,Fire TV Stick 4K
1,39.99,49.99,Echo Dot (4th Gen)
1,"1,299.99","1,549.99","GIGABYTE GeForce RTX 3080 Ti Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 384-Bit GDDR6X, GV-N308TGAMING OC-12GD Video Card"
1,44.99,59.99,Echo Dot (4th Gen) With Clock
1,20.39,25.99,"Paleovalley: 100% Grass Fed Beef Sticks - Organic Paleo and Keto Snack With Natural Probiotics - No Gluten, Soy, or GMOs - Shelf Stable - Made in the USA"
1,169.98,219.99,"Portable Monitor - KYY 15.6inch 1080P FHD USB-C Laptop Monitor HDMI Computer Display HDR IPS Gaming Monitor w/Premium Smart Cover & Speakers, External Monitor for Laptop PC Mac Phone PS4 Xbox Switch"
1,84.99,99.99,"Amcrest UltraHD 4K (8MP) Outdoor Bullet POE IP Camera, 3840x2160, 98ft NightVision, 2.8mm Lens, IP67 Weatherproof, MicroSD Recording, White (IP8M-2496EW-V2)"
1,29.74,34.99,"No Pull Dog Harness with Multifunction Dog Leash,Lightweight Pet Harness Vest and Soft Adjustable No Choke Escape Proof Cute Dog Harness for Puppies or Small Dogs,Medium Dogs"
1,29.95,59.95,AquaSonic Black Series Ultra Whitening Toothbrush – ADA Accepted Electric Toothbrush - 8 Brush Heads & Travel Case - Ultra Sonic Motor & Wireless Charging - 4 Modes w Smart Timer - Sonic Electric
1,179.99,299.99,"LG 27GP750-B 27” Ultragear FHD (1920 x 1080) IPS Gaming Monitor w/ 1ms Response Time & 240Hz Refresh Rate, NVIDIA G-SYNC Compatible with AMD FreeSync Premium, Thin Bezel, Tilt/Height/Pivot Adjustable"
1,"3,497.99","3,997.99","SAMSUNG 75-Inch Class Neo QLED 8K QN900A Series - 8K UHD Quantum HDR 64x Smart TV with Alexa Built-in (QN75QN900AFXZA, 2021 Model)"
1,17.49,20.95,"Advanced Collagen Supplement, Type 1, 2 and 3 with Hyaluronic Acid and Vitamin C - Anti Aging Joint Formula - Boosts Hair, Nails and Skin Health - 120 Capsules - by ForestLeaf"
1,15.99,39.88,50pcs KN95 Face Mask Black 5 Layer Cup Dust Safety Masks Filter Efficiency≥95% Breathable Elastic Ear Loops Black Masks
1,8.91,19.99,"PURA D'OR Organic Vitamin E Oil (4oz / 118mL) 70,000 IU 100% Pure Natural USDA Organic For Skin Face Hexane Free w/Sweet Almond, Apricot, Jojoba, Argan, Rosehip, Sunflower & Avocado Oil For Bath Body"
1,135.14,180.99,"HYD-Parts Double-Roofed Outdoor Gazebo Pop Up Canopy with Lights, Mosquito Net, Extended Eaves"
2,49.99,59.99,Save up to 17% on TurboTax Deluxe + State 2021
2,44.99,54.99,Fire TV Stick 4K Max
2,22.96,38.99,Spider-Man: No Way Home [Blu-ray]
2,109.00,164.00,"Jabra Speak 510 Wireless Bluetooth Speaker for Softphone and Mobile Phone – Easy Setup, Portable Speaker for Holding Meetings Anywhere with Outstanding Sound Quality"
2,99.99,129.99,Echo Show 8 (2nd Gen)
2,109.99,129.99,TP-Link WiFi 6 AX3000 Smart WiFi Router – 802.11ax Wireless Router
2,19.54,49.99,M3 Naturals Anti Cellulite Massage Oil Infused with Collagen and Stem Cell Natural Lotion Help Tighten Skin Tone
2,74.99,99.99,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa"
2,54.99,84.99,Echo Show 5 (2nd Gen)
2,159.98,659.99,"Robot Vacuum and Mop, WiFi/App/Alexa, 2 in 1 Mopping Robot Vacuum Cleaner Combo with 230ML Water Tank, Robotic Vacuum Cleaner, Self-Charging, Super-Thin, Ideal for Hard Floor, Pet Hair, Carpet (Blue)"
2,149.99,199.99,Jabra Elite 7 Pro Earbuds
2,79.99,89.99,Dreo 42 Inch Tower Fan with Remote. Floor Fan Oscillating 90°. Powerful Fan 6 Speeds. Quiet Bladeless Fan. 3 Modes. 12-Hour Timer. LED Display. Black Indoor Standing Fans for Home Bedroom Office Room
2,"1,996.99","2,246.99",LG OLED G1 Series 65” Alexa Built-in 4k Smart OLED evo TV
